4,256,0.01,0.05,0.5,income,1,0.842687533729088,sage
256,128,0.0001,0.01,0.5,nba,1,0.7464788732394366,sage
16,64,0.001,0.01,0.7,nba,3,0.7605633802816901,sage
256,16,0.001,0.0001,0.3,pokec_z,5,0.6292428198433421,sage
4,16,0.01,0.05,0.7,bail,4,0.9451154905700361,sage
128,4,0.001,0.002,0.5,bail,3,0.8817546090273363,sage
4,128,0.001,0.01,0.7,bail,5,0.9088789997880907,sage
16,64,0.001,0.01,0.5,bail,2,0.8955287137105319,sage
16,4,0.01,0.05,0.3,income,2,0.8564490016189962,sage
64,256,0.001,0.01,0.3,bail,1,0.9154481881754609,sage
256,256,0.001,0.05,0.5,nba,2,0.755868544600939,sage
256,64,0.0001,1e-05,0.7,nba,4,0.7417840375586855,sage
16,128,0.001,0.05,0.5,nba,5,0.7370892018779343,sage
256,128,0.01,0.01,0.7,pokec_n,5,0.6315449256625727,sage
128,64,0.01,0.05,0.3,pokec_n,2,0.6069812540400775,sage
16,128,0.01,0.05,0.7,pokec_n,1,0.6224951519069166,sage
16,128,0.01,1e-05,0.3,pokec_n,4,0.6237879767291532,sage
128,64,0.01,0.001,0.7,pokec_n,3,0.6283128636069812,sage
