64,0.5,0.2,5,0.001,4,0.01,0.001,nba,1,0.7323943661971831,fairGNN_gcn
16,0.6,0.5,40,0.01,128,0.001,0.001,nba,2,0.755868544600939,fairGNN_gcn
128,0.3,0.6,7,0.01,16,0.001,0.001,nba,3,0.7699530516431925,fairGNN_gcn
128,0.5,0.6,6,0.0001,64,0.001,0.001,nba,4,0.7417840375586855,fairGNN_gcn
256,0.5,0.7,10,0.0001,64,0.01,0.01,nba,5,0.755868544600939,fairGNN_gcn
16,0.5,0.7,6,0.1,8,0.01,0.01,nba,1,0.7370892018779343,fairGNN_gat
128,0.7,0.6,5,0.1,128,0.0001,1e-05,nba,2,0.7464788732394366,fairGNN_gat
256,0.5,0.4,1,0.001,16,0.0001,0.0001,nba,3,0.7370892018779343,fairGNN_gat
256,0.7,0.6,4,0.0001,8,0.0001,0.0001,nba,4,0.7370892018779343,fairGNN_gat
64,0.3,0.7,5,0.01,16,0.0001,0.01,nba,5,0.7183098591549296,fairGNN_gat
16,0.7,0.3,40,0.0001,64,0.0001,0.0001,nba,1,0.7605633802816901,fairGNN_sage
128,0.6,0.4,20,0.0001,4,0.001,0.0001,nba,2,0.7699530516431925,fairGNN_sage
256,0.5,0.4,4,0.001,8,0.0001,0.01,nba,3,0.7746478873239436,fairGNN_sage
128,0.7,0.7,4,0.001,8,0.001,0.001,nba,4,0.7464788732394366,fairGNN_sage
16,0.6,0.5,4,0.001,64,0.0001,0.001,nba,5,0.7699530516431925,fairGNN_sage
