64,0.5,0.4,40,0.01,4,0.01,0.01,pokec_z,1,0.658485639686684,fairGNN_gcn
128,0.3,0.3,40,0.001,16,0.01,0.01,pokec_z,2,0.6381201044386423,fairGNN_gcn
256,0.3,0.2,4,0.001,4,0.001,0.01,pokec_z,3,0.660574412532637,fairGNN_gcn
128,0.3,0.4,10,0.01,128,0.01,0.0001,pokec_z,4,0.639686684073107,fairGNN_gcn
64,0.7,0.6,6,0.0001,4,0.01,0.0001,pokec_z,5,0.6360313315926893,fairGNN_gcn
128,0.7,0.3,40,0.001,16,0.01,1e-05,pokec_z,1,0.6673629242819843,fairGNN_gat
128,0.5,0.5,20,0.0001,4,0.01,1e-05,pokec_z,2,0.6454308093994778,fairGNN_gat
16,0.3,0.3,4,0.01,16,0.01,0.001,pokec_z,3,0.6590078328981723,fairGNN_gat
64,0.3,0.6,1,0.0001,8,0.01,0.0001,pokec_z,4,0.6287206266318538,fairGNN_gat
256,0.5,0.6,3,0.0001,4,0.01,0.01,pokec_z,5,0.64177545691906,fairGNN_gat
64,0.7,0.5,10,0.0001,128,0.01,0.01,pokec_z,1,0.6595300261096606,fairGNN_sage
256,0.5,0.4,3,0.0001,8,0.01,0.01,pokec_z,1,0.6548302872062663,fairGNN_sage
16,0.6,0.5,20,0.01,4,0.01,0.001,pokec_z,2,0.6308093994778068,fairGNN_sage
256,0.6,0.5,10,0.001,16,0.001,0.0001,pokec_z,2,0.6370757180156658,fairGNN_sage
128,0.6,0.4,20,0.01,8,0.001,0.001,pokec_z,3,0.6595300261096606,fairGNN_sage
128,0.3,0.3,3,0.0001,128,0.01,0.0001,pokec_z,3,0.6621409921671019,fairGNN_sage
256,0.6,0.3,40,0.0001,8,0.01,0.0001,pokec_z,4,0.6412532637075719,fairGNN_sage
128,0.3,0.2,10,0.01,64,0.01,0.0001,pokec_z,4,0.6323759791122715,fairGNN_sage
128,0.3,0.2,6,0.0001,64,0.01,0.0001,pokec_z,5,0.6370757180156658,fairGNN_sage
128,0.6,0.3,40,0.1,64,0.01,0.001,pokec_z,5,0.6297650130548302,fairGNN_sage
