FairGNN_gcn,pokec1,62.61 += 0.02,2.36 += 0.01,2.64 += 0.03
NIFTY_GCN,pokec1,62.31 += 0.02,3.9899999999999998 += 0.03,4.43 += 0.08
FairGNN_gcn,pokec2,60.870000000000005 += 0.01,3.82 += 0.06999999999999999,3.8699999999999997 += 0.1
FairGNN_gat,pokec1,62.260000000000005 += 0.02,2.45 += 0.02,2.5 += 0.02
FairGNN_gcn,bail,89.03999999999999 += 0.02,7.359999999999999 += 0.01,3.74 += 0.01
FairGNN_gat,pokec2,60.34 += 0.02,5.54 += 0.09,5.87 += 0.13999999999999999
FairGNN_sage,pokec2,62.129999999999995 += 0.0,3.5700000000000003 += 0.05,4.77 += 0.11
FairGNN_sage,pokec1,62.3 += 0.02,3.4799999999999995 += 0.02,4.569999999999999 += 0.02
FairGNN_gat,income,77.2 += 0.09,12.3 += 0.58,10.32 += 0.98
FairGNN_sage,income,79.03999999999999 += 0.05,14.46 += 1.22,16.64 += 2.0
FairGNN_gcn,income,74.25 += 0.16,11.700000000000001 += 0.2,13.52 += 0.7100000000000001
FairGNN_gcn,pokec1,61.61 += 0.06,3.2199999999999998 += 0.03,3.27 += 0.06
FairGNN_gat,bail,83.46000000000001 += 0.19,7.670000000000001 += 0.08,5.18 += 0.09
